Open,High,Low,Close,Volume,Return_yesterday,Genetic1,Genetic2,Genetic3,Genetic4,Genetic5,Genetic6,Genetic7,Genetic8
17.20696912622057,17.233111848289237,16.820102383257986,16.837221145629883,392467600,-0.0219658882806457,1.001519310104929,1.001519310104929,1.001519310104929,1.001519310104929,1.001519310104929,1.001519310104929,1.001519310104929,1.001519310104929
19.91449928283691,20.135499954223633,19.81100082397461,19.82200050354004,44204000,-0.0038445077399618,1.0110974756757851,1.0110974756757851,1.0110974756757851,1.0110974756757851,1.0110974756757851,1.0110974756757851,1.0110974756757851,1.0110974756757851
27.770133404400525,27.81820147271548,27.519331680451373,27.521074295043945,66601332,-0.0072948061434334,1.0017309268059669,1.0017309268059669,1.0017309268059669,1.0017309268059669,1.0017309268059669,1.0017309268059669,1.0017309268059669,1.0017309268059669
31.02978721074704,31.046470273537256,30.529304872947115,30.787887573242188,31134800,-0.0067276264162853,1.0005376467030505,1.0005376467030505,1.0005376467030505,1.0005376467030505,1.0005376467030505,1.0005376467030505,1.0005376467030505,1.0005376467030505
10.0,10.145999908447266,9.90666675567627,9.970666885375977,70425000,-0.0035976265900143,1.0145999908447265,1.0145999908447265,1.0145999908447265,1.0145999908447265,1.0145999908447265,1.0145999908447265,1.0145999908447265,1.0145999908447265
16.72735303445934,17.018357008630502,16.607526695322754,16.929033279418945,412610800,0.0054529267623768,1.0173968931947377,1.0173968931947377,1.0173968931947377,1.0173968931947377,1.0173968931947377,1.0173968931947377,1.0173968931947377,1.0173968931947377
19.792499542236328,19.850000381469727,19.42099952697754,19.681499481201172,63412000,-0.0070881353430384,1.0029051833049532,1.0029051833049532,1.0029051833049532,1.0029051833049532,1.0029051833049532,1.0029051833049532,1.0029051833049532,1.0029051833049532
27.72057165037835,27.86626979749678,27.556938620011383,27.82791519165039,70701228,0.0111493066483128,1.0052559575233884,1.0052559575233884,1.0052559575233884,1.0052559575233884,1.0052559575233884,1.0052559575233884,1.0052559575233884,1.0052559575233884
30.73783666128742,30.771202784996895,30.120579282505616,30.13726234436035,43603700,-0.0211325063252243,1.0010855065721491,1.0010855065721491,1.0010855065721491,1.0010855065721491,1.0010855065721491,1.0010855065721491,1.0010855065721491,1.0010855065721491
10.0,10.026666641235352,9.682666778564451,9.800000190734863,80416500,-0.0171168786003101,1.0026666641235351,1.0026666641235351,1.0026666641235351,1.0026666641235351,1.0026666641235351,1.0026666641235351,1.0026666641235351,1.0026666641235351
16.941169011588876,16.992211133087164,16.741978744753187,16.807960510253906,317209200,-0.0071517828080727,1.0030129043316534,1.0030129043316534,1.0030129043316534,1.0030129043316534,1.0030129043316534,1.0030129043316534,1.0030129043316534,1.0030129043316534
19.75200080871582,19.923500061035156,19.714500427246097,19.901500701904297,38320000,0.0111780721236844,1.008682626837665,1.008682626837665,1.008682626837665,1.008682626837665,1.008682626837665,1.008682626837665,1.008682626837665,1.008682626837665
28.019194162334315,28.38506352083641,27.923555367597142,28.364391326904297,102001896,0.0192783444810438,1.013057811598091,1.013057811598091,1.013057811598091,1.013057811598091,1.013057811598091,1.013057811598091,1.013057811598091,1.013057811598091
30.30409383212325,30.43755516283415,30.20399544761324,30.37082290649414,35802800,0.007749893121181,1.0044040693462157,1.0044040693462157,1.0044040693462157,1.0044040693462157,1.0044040693462157,1.0044040693462157,1.0044040693462157,1.0044040693462157
9.841333389282228,10.026666641235352,9.68333339691162,9.957332611083984,75511500,0.0160543282945919,1.0188321281905723,1.0188321281905723,1.0188321281905723,1.0188321281905723,1.0188321281905723,1.0188321281905723,1.0188321281905723,1.0188321281905723
16.76967440179591,16.979758538825873,16.765941153607596,16.914400100708008,258529600,0.0063326892271771,1.0125276217054915,1.0125276217054915,1.0125276217054915,1.0125276217054915,1.0125276217054915,1.0125276217054915,1.0125276217054915,1.0125276217054915
19.923500061035156,20.149999618530273,19.802000045776367,20.09600067138672,46330000,0.0097731308003226,1.0113684622080077,1.0113684622080077,1.0113684622080077,1.0113684622080077,1.0113684622080077,1.0113684622080077,1.0113684622080077,1.0113684622080077
28.542217652335168,28.575093841649498,28.225663552568008,28.423416137695312,89610300,0.0020809475553607,1.0011518442510243,1.0011518442510243,1.0011518442510243,1.0011518442510243,1.0011518442510243,1.0011518442510243,1.0011518442510243,1.0011518442510243
30.0288105664559,30.14558876509958,29.678475970524868,29.828617095947266,59971700,-0.0178528521343073,1.0038888719346788,1.0038888719346788,1.0038888719346788,1.0038888719346788,1.0038888719346788,1.0038888719346788,1.0038888719346788,1.0038888719346788
9.923333168029783,10.24666690826416,9.917332649230955,10.085332870483398,92448000,0.0128548743322012,1.0325831789338755,1.0325831789338755,1.0325831789338755,1.0325831789338755,1.0325831789338755,1.0325831789338755,1.0325831789338755,1.0325831789338755
17.018351424051254,17.020219710373805,16.661987443259857,16.698402404785156,279148800,-0.0127700476893537,1.0001097806876822,1.0001097806876822,1.0001097806876822,1.0001097806876822,1.0001097806876822,1.0001097806876822,1.0001097806876822,1.0001097806876822
20.18549919128418,20.344499588012695,19.92200088500977,20.050500869750977,42060000,-0.0022641222191301,1.0078769613385221,1.0078769613385221,1.0078769613385221,1.0078769613385221,1.0078769613385221,1.0078769613385221,1.0078769613385221,1.0078769613385221
28.47846018869352,28.497887115297974,28.033142410789896,28.149702072143555,83296620,-0.0096298792596135,1.0006821621139532,1.0006821621139532,1.0006821621139532,1.0006821621139532,1.0006821621139532,1.0006821621139532,1.0006821621139532,1.0006821621139532
